CriminalID,First_Name,Middle_Name,Last_Name,Gender,DOB,H_NO,Society,Locality,PinCode,MobileNo,Nationality,NGO_ID,Prison_ID
30439790,Raju,,Chakraborty,F,1983-02-03,419, Nayan Villas,Lajpat Nagar,110077,8537972141,Indian,12463,485285
84375049,Umar,Emran,Dara,F,1976-12-18,438, Tarun Villas,New Friends Colony,110038,7746062276,Indian,,478356
39173228,Wafa,Kumar,Modi,M,1979-08-08,491, Kailash Heights,Green Park,110073,8200791632,Indian,10008,469744
52727705,Elias,,Deol,F,1971-09-12,98, Mustafa Villas,Naraina,110023,8971648465,Indian,10999,472251
26476064,Moti,Kumar,Kabra,F,1969-11-30,433, Uma Apartments,Nehru Place,110035,9430158127,Pakistani,,476173
71517366,Mukund,,George,M,1983-06-02,375, Padama Villas,Lajpat Nagar,110077,7977618475,Indian,11510,470468
66386504,Anees,Ujwal,Rajan,F,1964-03-22,315, Gayatri Heights,IIT,110061,8710580376,Indian,11319,469744
29937704,Anand,Bhai,Dayal,F,1972-07-22,374, Sara Apartments,Narela,110043,7370751096,Pakistani,,461230
31079042,Rashid,Lal,Dalal,M,1971-12-21,107, Radheshyam Society,Paharganj,110019,7644901023,Indian,,461230
88262106,Yadunandan,,Mall,F,1965-06-12,489, Baldev Society,Mayur Vihar,110074,9577940606,Indian,11046,465143
16396661,Arjun,Ram,Tank,M,1987-03-18,444, Akhil Apartments,Karol Bagh,110054,9205974927,Indian,12683,476173
52386691,Damini,,Shere,M,1977-02-15,334, Ram Gopal Heights,Panchshil Enclave,110018,9107551567,Indian,,485285
77860369,Bahadur,,Sengupta,F,1984-01-25,60, Richa Society,Mayur Vihar,110074,9110264030,Indian,,478555
16236949,Aarushi,Alex,Saini,M,1991-10-12,335, Upasana Society,Nehru Place,110035,8256755985,Indian,,458876
54377342,Abdul,,Baria,F,1982-03-23,102, Karim Villas,IIT,110061,9665394427,Pakistani,11859,465143
62891864,Siddharth,Ram,Harjo,F,1997-12-02,117, Lalita Heights,New Friends Colony,110038,9305602369,Indian,,478356
19948330,Balaji,,Dada,M,2002-06-07,432, Nishita Society,Naraina,110023,9975320599,Indian,,485985
10108190,Vijayent,Dev,Boase,F,1970-05-17,337, Daanish Heights,Mayur Vihar,110074,9086847148,Indian,11319,478356
