Case_Id,First_Name,Middle_Name,Last_Name,Lead_Type,DOB,Description,Mobile_no
2059791359,Ibrahim,Null,Saha,Suspect,2002-06-04,"Young, wheatish complection, Bald and stout",7569104188
112796896,Ajay,Ram,Ravel,Witness,1982-10-31,"Tall, long hair, Tattoo on knuckles",8195465008
1770121648,Brock,Singh,Mane,Friend of victim,2004-08-25,"Tall, thin, has pale eyes and bent back",8200596424
2078708990,Hetan,Rao,De,Friend of victim,1961-12-03,"Distinct rings on each finger, short and fat man",8215609126
1030888538,Sushmita,Kundra,Mehrotra,Neighbour of victim,1993-03-24,"4'3, young female, shrill voice, short hair",8758365877
2014396273,Pradeep,Tim,Mishra,Parent of victim,1961-12-01,"Distinct speech, red hair, multiple face moles",8830201096
1063440738,Urmila,Khan,Mogul,Suspect,1984-04-27,"Multiple ear piercings, red hair, fair complexion",8710981230
1882748570,Narayan,Null,Acharya,Suspect,1991-07-02,"Tall and lean, distinct voice",8657890342
1849990972,Aastha,Rao,Solanki,Witness,1995-10-16,"Needs a walking stick, gray hair and shallow speech",8470775265
201245644,Jawahar,Vivek,Suri,Friend of victim,1966-10-03,"Short and stout man, black hair",8106238506
1734298382,Faraz,Ram,Tripathi,Friend of victim,1986-02-04,"Bald man with long beard, Muscular",8039354491
1185146397,Kirti,Sejal,Desai,Neighbour of victim,1996-05-15,"Muscular and athletic, dark skin",7314363622
366668486,Dipti,Null,Subramaniam,Suspect,1960-04-05,"Muscular and athletic, dark skin",7886116261
1417904974,Mohanlal,Ram,Seth,Friend of victim,1989-08-16,"Tall, approximately six feet",8508846567
787504764,Sid,Rekha,Chia,Suspect,1963-10-27,"Tall, approximately six feet, tattoos on waist",8299475019
1968264326,Tabeed,Raju,Sathe,Suspect,1997-07-08,"Young, fair complexion, brown hair with red streaks",9830820352
1180751644,Chhaya,Singh,Mangat,Witness,1960-12-31,"Short and stout, small feet and black hair",7510842877
1353927046,Preet,Raj,Mogul,Witness,2000-06-28,"Gray hair, cannot walk, wears bifocals",9440583340
571186029,Naval,Ram,Chakraborty,Witness,1995-06-05,"Long black hair, wears a moustache, dark skin",9764714561
436518394,Manoj,Singh,Sane,Witness,1969-09-21,"Long white beard, medium build, wears rings on all fingers",9727784685
11073768,Munaf,Rao,Mane,Witness,1988-07-06,"Tall and lean, distinct voice",9133066389
616339776,Aarif,Kundra,Mital,Witness,1964-04-25,"Freckles on face, long beard and dark skin",9595380853
1322986574,Upasana,Tim,Thakkar,Suspect,1969-11-02,"Red hair, long nails, face piercings",7989894359
1871282359,Suraj,Khan,Kale,Suspect,1976-05-15,"Medium build, bent back, dark skin",8704669152
232750812,Narayan,Ahuja,Reddy,Suspect,1967-12-24,"Tall, long hair, Tattoo on knuckles",8509157465
988349942,Jayshree,Rana,Shetty,Suspect,1977-10-10,"Tall, approximately six feet, tattoos on waist",7428988162
130508902,Yash,Gandhi,Prakash,Suspect,1996-02-18,"Young, fair complexion, brown hair with red streaks",9884595883
1253861202,Ujwal,Deep,Dua,Suspect,1962-12-09,"Short and stout, small feet and black hair",8534905272
652948431,Bharat,Fana,Shukla,Suspect,1971-08-19,"Young, fair complexion, brown hair with red streaks",9745468065
1184058824,Baber,Deep,Iyer,Suspect,2003-09-29,"Bald man with long beard, Muscular",7817471783
1798500824,Obaid,Null,Sodhani,Suspect,1980-03-24,"Short, black hair, green eyes",7302804350
253647023,Bhanupriya,Null,Badal,Suspect,1998-04-22,"Young, fair complexion, brown hair with red streaks",9526262622
1780622263,Namita,Null,Palla,Suspect,1996-12-23,"Short, black hair, green eyes",8830965519
1718607292,Alex,Null,Mander,Suspect,1995-11-05,"Freckles on face, long beard and dark skin",9500761970
701749973,Faraz,Null,Ramroop,Friend of victim,1983-04-06,Complexion fair and wears a moustache.,9183253185
